TC,LOC,SC,E
org.apache.commons.codec.language.NysiisTest#testRule7,3,0,175.702393
org.apache.commons.codec.binary.HexTest#testDecodeByteBufferEmpty,3,4,177.673279
org.apache.commons.codec.binary.Base32Test#testBase32DecodingOfTrailing20Bits,3,0,175.947617
org.apache.commons.codec.digest.PureJavaCrc32CTest#testOnes,4,1,173.175751
org.apache.commons.codec.binary.Base64Test#testCodeInteger1,6,5,178.614349
org.apache.commons.codec.digest.HmacAlgorithmsTest#testMacHexInputStream,4,1,183.767181
org.apache.commons.codec.language.MatchRatingApproachEncoderTest#testCompare_MCGOWAN_MCGEOGHEGAN_SuccessfullyMatched,3,2,180.211914
org.apache.commons.codec.DecoderExceptionTest#testConstructorStringThrowable,5,6,172.811798
org.apache.commons.codec.digest.UnixCryptTest#testUnixCryptExplicitCall,4,4,166.03064
org.apache.commons.codec.language.bm.CacheSubSequencePerformanceTest#test,11,0,331.150482
org.apache.commons.codec.language.DoubleMetaphoneTest#testIsDoubleMetaphoneEqualExtended3,25,6,165.789383
org.apache.commons.codec.CharsetsTest#testUtf16,3,1,172.839722
org.apache.commons.codec.language.bm.BeiderMorseEncoderTest#testSetConcat,5,1,176.105118
org.apache.commons.codec.digest.HmacAlgorithmsTest#testMacByteArray,4,1,182.373642
org.apache.commons.codec.binary.Base32Test#testSingleCharEncoding,18,0,167.339676
org.apache.commons.codec.StringEncoderAbstractTest#testEncodeEmpty,6,0,162.467377
org.apache.commons.codec.binary.HexTest#testEncodeByteBufferAllocatedButEmpty,6,6,166.164062
org.apache.commons.codec.digest.Sha512CryptTest#testSha2CryptRounds,5,0,177.415344
org.apache.commons.codec.binary.Base64Test#testObjectEncodeWithValidParameter,9,5,178.393372
org.apache.commons.codec.language.SoundexTest#testSimplifiedSoundex,11,9,176.236038
org.apache.commons.codec.binary.BinaryCodecTest#testFromAsciiCharArray,84,28,183.364243
org.apache.commons.codec.digest.HmacUtilsTest#testHmacSha1UpdateWithString,7,5,182.355484
org.apache.commons.codec.language.DaitchMokotoffSoundexTest#testSpecialRomanianCharacters,4,3,171.884811
org.apache.commons.codec.language.DaitchMokotoffSoundexTest#testSoundexBasic3,8,7,167.532745
org.apache.commons.codec.digest.HmacUtilsTest#testEmptyKey,3,1,174.724777
org.apache.commons.codec.digest.Sha2CryptTest#testCtor,3,1,172.766052
org.apache.commons.codec.binary.Base32Test#testEmptyBase32,13,0,173.834671
org.apache.commons.codec.digest.B64Test#testB64from24bit,6,2,176.980453
org.apache.commons.codec.digest.MurmurHash3Test#testHash32,13,7,177.302246
org.apache.commons.codec.digest.Sha512CryptTest#testSha512CryptBytes,5,0,176.764191
org.apache.commons.codec.language.MatchRatingApproachEncoderTest#testCompare_Surname_PRZEMYSL_PSHEMESHIL_SuccessfullyMatched,3,2,174.506134
org.apache.commons.codec.binary.Base64Test#testEncodeDecodeSmall,10,7,177.972565
org.apache.commons.codec.binary.Base32InputStreamTest#testSkipNone,10,10,176.172653
org.apache.commons.codec.digest.Sha512CryptTest#testSha2CryptWrongSalt,3,0,175.135025
org.apache.commons.codec.DecoderExceptionTest#testConstructor0,5,6,166.978745
org.apache.commons.codec.binary.StringUtilsTest#testEqualsCS1,8,7,174.527817
org.apache.commons.codec.StringEncoderAbstractTest#testLocaleIndependence,30,0,170.485153
org.apache.commons.codec.digest.DigestUtilsTest#testSha1UpdateWithByteBuffer,13,4,174.99472
org.apache.commons.codec.binary.Base64OutputStreamTest#testCodec98NPE,12,5,175.344574
org.apache.commons.codec.net.QuotedPrintableCodecTest#testDefaultEncoding,8,4,176.393738
org.apache.commons.codec.binary.BinaryCodecTest#testToAsciiBytes,113,29,176.135483
org.apache.commons.codec.net.QuotedPrintableCodecTest#testDecodeWithNullArray,5,0,179.690536
org.apache.commons.codec.digest.DigestUtilsTest#testMd5LengthForBytes,8,5,177.198013
org.apache.commons.codec.language.MatchRatingApproachEncoderTest#testGetEncoding_Space_to_Nothing,3,2,176.51059
org.apache.commons.codec.digest.MurmurHash3Test#testIncrementalHash32,18,11,179.489319
org.apache.commons.codec.digest.DigestUtilsTest#testSha512HexInputStream,3,2,178.163422
org.apache.commons.codec.language.bm.PhoneticEngineRegressionTest#testSolrSEPHARDIC,39,0,188.083786
org.apache.commons.codec.binary.Base32Test#testBase32ImpossibleSamples,3,0,177.257904
org.apache.commons.codec.binary.Base64Test#testTriplets,66,66,176.755768
org.apache.commons.codec.language.DoubleMetaphoneTest#testIsDoubleMetaphoneEqualExtended2,4,1,168.628311
org.apache.commons.codec.language.MatchRatingApproachEncoderTest#testCompare_KARL_ALESSANDRO_DoesNotMatch,3,2,180.772949
org.apache.commons.codec.language.Caverphone1Test#testEndMb,4,1,175.382599
org.apache.commons.codec.net.QuotedPrintableCodecTest#testDecodeInvalid,6,3,176.058319
org.apache.commons.codec.binary.HexTest#testDecodeByteBufferObjectEmpty,3,4,177.77652
org.apache.commons.codec.language.DaitchMokotoffSoundexTest#testAdjacentCodes,4,3,176.337448
org.apache.commons.codec.digest.MessageDigestAlgorithmsTest#testDigestPathStandardOpenOptionRead,3,1,195.819626
org.apache.commons.codec.binary.Base32OutputStreamTest#testBase32EmptyOutputStreamMimeChunkSize,3,1,175.180939
org.apache.commons.codec.net.UtilsTest#testConstructor,3,1,163.65242
org.apache.commons.codec.language.SoundexTest#testEncodeIgnoreTrimmable,3,2,174.236832
org.apache.commons.codec.binary.BinaryCodecTest#testToAsciiChars,113,29,175.953766
org.apache.commons.codec.binary.StringUtilsTest#testGetBytesUncheckedBadName,3,1,175.893631
org.apache.commons.codec.net.URLCodecTest#testEncodeDecodeNull,6,4,167.460434
org.apache.commons.codec.binary.Base64Test#testRfc4648Section10DecodeEncode,9,1,179.520096
org.apache.commons.codec.language.MatchRatingApproachEncoderTest#testCompare_Surname_SZLAMAWICZ_SHLAMOVITZ_SuccessfullyMatched,3,2,176.346664
org.apache.commons.codec.binary.Base64Test#testDecodePadOnlyChunked,8,12,176.673737
org.apache.commons.codec.digest.CryptTest#testCryptWithBytes,5,2,177.384491
org.apache.commons.codec.language.MatchRatingApproachEncoderTest#testAccentRemoval_NullValue_ReturnNullSuccessfully,3,1,171.131805
org.apache.commons.codec.binary.Base64InputStreamTest#testCodec105,7,6,174.136566
org.apache.commons.codec.language.RefinedSoundexTest#testEncode,14,12,172.46962
org.apache.commons.codec.binary.Base64Test#testIgnoringNonBase64InDecode,3,2,178.306992
org.apache.commons.codec.binary.BinaryCodecTest#testEncodeByteArray,113,30,177.12529
org.apache.commons.codec.digest.PureJavaCrc32CTest#testIncreasing,6,2,173.209503
org.apache.commons.codec.digest.Apr1CryptTest#testApr1CryptBytes,8,0,176.758286
org.apache.commons.codec.digest.MurmurHash3Test#testHash128WithOffsetLengthAndSeed,8,3,173.897949
org.apache.commons.codec.binary.BaseNCodecTest#testEnsureBufferSizeThrowsOnOverflow,9,3,176.258926
org.apache.commons.codec.CharsetsTest#testUtf16Le,3,1,167.519241
org.apache.commons.codec.binary.BaseNCodecTest#testProvidePaddingByte,14,1,173.201172
org.apache.commons.codec.binary.Base64InputStreamTest#testReadOutOfBounds,11,4,177.568741
org.apache.commons.codec.language.ColognePhoneticTest#testEdgeCases,4,2,174.328857
org.apache.commons.codec.net.RFC1522CodecTest#testNullInput,5,0,174.623672
org.apache.commons.codec.digest.Sha256CryptTest#testSha2CryptRoundsThreadLocalRandom,6,0,175.891037
org.apache.commons.codec.digest.UnixCryptTest#testUnixCryptStrings,6,5,172.503372
org.apache.commons.codec.binary.Base64OutputStreamTest#testWriteOutOfBounds,10,4,175.112762
org.apache.commons.codec.binary.Base64OutputStreamTest#testStrictDecoding,18,8,179.101929
org.apache.commons.codec.digest.Apr1CryptTest#testApr1CryptWithoutSalt,6,0,174.603485
org.apache.commons.codec.net.PercentCodecTest#testDecodeInvalidEncodedResultDecoding,11,6,176.626328
org.apache.commons.codec.language.MetaphoneTest#testIsMetaphoneEqualSusan,3,0,176.407684
org.apache.commons.codec.language.MatchRatingApproachEncoderTest#testCompare_Surname_OSULLIVAN_OSUILLEABHAIN_SuccessfulMatch,3,2,177.102646
org.apache.commons.codec.binary.HexTest#testEncodeHex_ByteBufferWithLimit,14,6,177.462906
org.apache.commons.codec.binary.Base64Test#testTripletsChunked,66,66,168.974167
org.apache.commons.codec.net.URLCodecTest#testDecodeInvalid,8,3,176.526688
org.apache.commons.codec.digest.HmacAlgorithmsTest#testGetHmacNullKey,4,0,184.880783
org.apache.commons.codec.binary.HexTest#testDecodeHexCharArrayEmpty,3,2,167.940842
org.apache.commons.codec.digest.HmacAlgorithmsTest#testGetHmacEmptyKey,4,0,183.895554
org.apache.commons.codec.language.NysiisTest#testRule4Dot2,3,0,189.248138
org.apache.commons.codec.binary.Base64InputStreamTest#testRead0,10,6,177.886658
org.apache.commons.codec.digest.HmacAlgorithmsTest#testMacHexString,4,1,179.640656
org.apache.commons.codec.digest.CryptTest#testDefaultCryptVariant,4,4,174.162918
org.apache.commons.codec.binary.Base16Test#testKnownDecodings,8,7,168.291199
org.apache.commons.codec.digest.MurmurHash3Test#testHash32x86,8,5,170.838211
org.apache.commons.codec.net.QuotedPrintableCodecTest#testUltimateSoftBreak,15,8,175.349747
org.apache.commons.codec.digest.HmacUtilsTest#testInitializedMac,6,5,168.166473
org.apache.commons.codec.language.NysiisTest#testTranan,3,1,174.542053
org.apache.commons.codec.binary.Base16InputStreamTest#testBase16InputStreamByteByByte,18,2,177.91629
org.apache.commons.codec.language.NysiisTest#testSnat,3,1,175.276627
org.apache.commons.codec.digest.MurmurHash2Test#testHash64ByteArrayInt,8,3,177.567047
org.apache.commons.codec.binary.BaseNCodecTest#testIsInAlphabetString,4,4,175.042526
org.apache.commons.codec.language.MatchRatingApproachEncoderTest#testCompare_Forenames_SEAN_JOHN_MatchExpected,3,2,169.769714
org.apache.commons.codec.language.MatchRatingApproachEncoderTest#testIsVowel_CapitalA_ReturnsTrue,3,1,179.321472
org.apache.commons.codec.binary.Base64Test#testConstructor_Int_ByteArray_Boolean_UrlSafe,11,4,169.764175
org.apache.commons.codec.CharsetsTest#testUsAscii,3,1,174.521149
org.apache.commons.codec.digest.MurmurHash3Test#testHash32WithOffsetLengthAndSeed,13,5,173.136963
org.apache.commons.codec.language.MetaphoneTest#testDiscardOfSilentGN,4,3,174.493301
org.apache.commons.codec.EncoderExceptionTest#testConstructorStringThrowable,5,6,175.418594
org.apache.commons.codec.binary.HexTest#testEncodeHexPartialInput,17,10,174.816666
org.apache.commons.codec.digest.MurmurHash3Test#testHash32Long,12,5,177.013901
org.apache.commons.codec.digest.DigestUtilsTest#testShaHex,6,4,178.815948
org.apache.commons.codec.digest.MessageDigestAlgorithmsTest#testDigestPath,5,4,169.806351
org.apache.commons.codec.binary.Base64Test#testRfc2045Section6Dot8ChunkSizeDefinition,3,2,177.03833
org.apache.commons.codec.net.QuotedPrintableCodecTest#testSoftLineBreakEncode,8,6,173.635178
org.apache.commons.codec.language.MatchRatingApproachEncoderTest#testIsEncodeEquals_CornerCase_SecondNameNothing_ReturnsFalse,3,2,177.61972
org.apache.commons.codec.language.ColognePhoneticTest#testSpecialCharsBetweenSameLetters,4,1,180.274567
org.apache.commons.codec.digest.MurmurHash3Test#testHash64InNotEqualToHash128,9,6,191.042542
org.apache.commons.codec.binary.HexTest#testDecodeBadCharacterPos1,3,3,178.009705
org.apache.commons.codec.language.MatchRatingApproachEncoderTest#testIsEncodeEquals_CornerCase_SecondNameNull_ReturnsFalse,3,2,177.893433
org.apache.commons.codec.digest.HmacUtilsTest#testNullKey,3,1,173.990952
org.apache.commons.codec.binary.Base64Codec13Test#testDecoder,10,0,172.005707
org.apache.commons.codec.binary.Base32InputStreamTest#testBase32InputStreamByteByByte,15,2,173.317032
org.apache.commons.codec.binary.Base64InputStreamTest#testSkipToEnd,8,12,174.628204
org.apache.commons.codec.binary.Base32Test#testBase32DecodingOfTrailing25Bits,3,0,176.781372
org.apache.commons.codec.digest.HmacUtilsTest#testMd5HMacFail,3,1,174.86058
org.apache.commons.codec.binary.Base32Test#testBase32BinarySamples,13,0,173.692657
org.apache.commons.codec.language.DoubleMetaphoneTest#testEmpty,6,5,178.788376
org.apache.commons.codec.binary.Base64Test#testDecodePadMarkerIndex3,4,3,179.016632
org.apache.commons.codec.binary.HexTest#testCustomCharsetToString,3,5,174.759064
org.apache.commons.codec.binary.Base64Test#testCodeIntegerEdgeCases,2,1,181.152695
org.apache.commons.codec.binary.CharSequenceUtilsTest#testConstructor,3,0,172.245102
org.apache.commons.codec.net.QCodecTest#testInvalidEncoding,3,1,174.862045
org.apache.commons.codec.binary.StringUtilsTest#testGetBytesUncheckedNullInput,3,2,175.290298
org.apache.commons.codec.language.MatchRatingApproachEncoderTest#testGetMinRating_2_Returns5_Successfully,3,2,177.42157
org.apache.commons.codec.digest.MurmurHash2Test#testHash64StringIntInt,4,2,171.956665
org.apache.commons.codec.language.DoubleMetaphoneTest#testCCedilla,3,2,173.664215
org.apache.commons.codec.binary.HexTest#testDecodeByteArrayObjectEmpty,3,4,178.312012
org.apache.commons.codec.language.MatchRatingApproachEncoderTest#testCompare_Forenames_UNA_OONAGH_ShouldSuccessfullyMatchButDoesNot,3,2,179.430756
org.apache.commons.codec.binary.HexTest#testEncodeHexByteString_ByteBufferOfZeroes,4,2,177.596878
org.apache.commons.codec.language.SoundexTest#testMsSqlServer2,3,1,176.777451
org.apache.commons.codec.net.URLCodecTest#testBasicEncodeDecode,8,5,176.921921
org.apache.commons.codec.digest.Md5CryptTest#testMd5CryptStrings,8,6,177.835541
org.apache.commons.codec.binary.Base64Test#testBase64,18,6,174.816238
org.apache.commons.codec.binary.Base64Test#testCodec265,11,2,184.555588
org.apache.commons.codec.binary.Base64InputStreamTest#testCodec101,11,6,176.621109
org.apache.commons.codec.digest.HmacUtilsTest#testSha256HMacFail,3,1,177.200729
org.apache.commons.codec.language.MatchRatingApproachEncoderTest#testGetMinRating_1_Returns5_Successfully,3,2,177.397186
org.apache.commons.codec.binary.HexTest#testEncodeHexByteString_ByteArrayBoolean_ToLowerCase,3,2,175.349243
org.apache.commons.codec.binary.StringUtilsTest#testEqualsCS2,6,5,174.83519
org.apache.commons.codec.language.MatchRatingApproachEncoderTest#testRemoveVowel__AIDAN_Returns_ADN,3,1,179.068069
org.apache.commons.codec.binary.Base32Test#testBase32Samples,6,0,177.174576
org.apache.commons.codec.binary.Base16Test#testObjectEncodeWithInvalidParameter,3,1,174.9048
org.apache.commons.codec.binary.Base64InputStreamTest#testSkipPastEnd,8,12,177.848633
org.apache.commons.codec.binary.Base64InputStreamTest#testReadMultipleBufferSizes,16,7,192.870392
org.apache.commons.codec.net.QuotedPrintableCodecTest#testDecodeObjects,13,4,172.354523
org.apache.commons.codec.language.MatchRatingApproachEncoderTest#testCompare_COLM_COLIN_WithAccentsAndSymbolsAndSpaces_SuccessfullyMatched,3,2,177.005539
org.apache.commons.codec.language.SoundexTest#testMsSqlServer1,4,3,176.595215
org.apache.commons.codec.language.MetaphoneTest#testIsMetaphoneEqualParis,3,0,177.338821
org.apache.commons.codec.binary.Base16InputStreamTest#testRead0,10,6,189.238007
org.apache.commons.codec.binary.Base64Test#testCodec68,4,2,176.203506
org.apache.commons.codec.net.QuotedPrintableCodecTest#testEncodeObjects,13,4,176.281921
org.apache.commons.codec.net.QCodecTest#testEncodeDecodeBlanks,16,10,175.151794
org.apache.commons.codec.binary.Base16Test#checkEncodeLengthBounds,4,3,177.563766
org.apache.commons.codec.language.SoundexTest#testEncodeBatch4,10,9,176.527405
org.apache.commons.codec.language.MatchRatingApproachEncoderTest#testCompareNameSameNames_ReturnsFalseSuccessfully,3,2,172.300674
org.apache.commons.codec.DecoderExceptionTest#testConstructorString,5,6,173.615143
org.apache.commons.codec.language.bm.BeiderMorseEncoderTest#testInvalidLanguageIllegalArgumentException,3,0,178.262955
org.apache.commons.codec.net.PercentCodecTest#testBasicEncodeDecode,10,6,177.294403
org.apache.commons.codec.CharEncodingTest#testUtf16Le,3,1,173.8918
org.apache.commons.codec.language.bm.RuleTest#testSubSequenceWorks,56,93,175.399185
org.apache.commons.codec.digest.Sha512CryptTest#testSha512CryptExplicitCall,4,0,178.505051
org.apache.commons.codec.digest.DigestUtilsTest#testSha3_224HexInputStream,4,2,175.385956
org.apache.commons.codec.language.DoubleMetaphoneTest#testCodec184,8,7,170.249969
org.apache.commons.codec.language.MatchRatingApproachEncoderTest#testRemoveVowel_ALESSANDRA_Returns_ALSSNDR,3,1,167.678391
org.apache.commons.codec.net.RFC1522CodecTest#testDecodeInvalid,14,0,178.667816
org.apache.commons.codec.net.QuotedPrintableCodecTest#testUnsafeEncodeDecode,7,5,175.680405
org.apache.commons.codec.binary.Base64Test#testBase64DecodingOfTrailing18Bits,3,1,176.019867
org.apache.commons.codec.digest.UnixCryptTest#testUnixCryptBytes,6,5,166.182739
org.apache.commons.codec.net.URLCodecTest#testDecodeInvalidContent,11,6,176.947144
org.apache.commons.codec.binary.Base64Test#testIsArrayByteBase64,13,12,175.651764
org.apache.commons.codec.language.NysiisTest#testDad,3,1,172.482452
org.apache.commons.codec.EncoderExceptionTest#testConstructor0,5,6,173.815292
org.apache.commons.codec.language.bm.BeiderMorseEncoderTest#testAllChars,6,3,222.03743
org.apache.commons.codec.binary.Base32InputStreamTest#testCodec105,7,6,176.66835
org.apache.commons.codec.binary.Base32Test#testBase32HexSamples,6,0,179.998459
org.apache.commons.codec.net.QCodecTest#testEncodeObjects,9,3,173.522018
org.apache.commons.codec.binary.HexTest#testGetCharset,3,4,173.82637
org.apache.commons.codec.digest.Sha256CryptTest#testSha256CryptStrings,8,0,179.064362
org.apache.commons.codec.language.MetaphoneTest#testWhy,3,2,175.997131
org.apache.commons.codec.binary.Base32Test#testBase32HexSamplesReverseLowercase,6,0,174.199631
org.apache.commons.codec.language.Caverphone2Test#testEndMb,4,1,174.766647
org.apache.commons.codec.language.MatchRatingApproachEncoderTest#testCompare_STEPHEN_STEVEN_SuccessfullyMatched,3,2,180.03215
org.apache.commons.codec.language.MatchRatingApproachEncoderTest#testIsEncodeEquals_CornerCase_SecondNameJustSpace_ReturnsFalse,3,2,175.26062
org.apache.commons.codec.digest.MurmurHash3Test#testIncrementalHashWithUnprocessedBytesAndHugeLengthArray,16,3,177.247437
org.apache.commons.codec.binary.BinaryCodecTest#testDecodeObject,65,1,193.697632
org.apache.commons.codec.digest.Apr1CryptTest#testApr1CryptBytesWithThreadLocalRandom,9,0,174.493729
